cluster,primary_keyword,secondary_keywords,target_slug,search_intent,serp_features
Radius,map radius,radius map; draw radius on map; radius around address; mile radius map; km radius map; 5 mile radius; delivery radius map,/tools/map-radius/,Transactional/Utility,Interactive map widget; Direct answer; FAQ accordion
Area,map area calculator,calculate area on map; acres calculator map; land area calculator; measure property area; hectare calculator map,/tools/map-area-calculator/,Transactional/Utility,Map widget; Unit conversion table; FAQ accordion
Distance,distance between two places,distance between coordinates; straight line distance; crow flies distance; city distance calculator,/tools/distance-between-places/,Informational/Utility,Map line preview; Distance summary card; Method explanation
Coordinates,latitude longitude finder,find coordinates; coordinates to address; address to coordinates; gps coordinate converter; lat long map,/tools/latitude-longitude-finder/,Utility/Direct Answer,Interactive marker; Formatted coordinates box; Copy button
Coordinates,address to coordinates,geocode address; convert address to lat long; address finder coordinates,/tools/address-to-coordinates/,Utility,Input search box; Coordinate output card; Map preview
Coordinates,coordinates to address,reverse geocode; lat long to address; find address from coordinates,/tools/coordinates-to-address/,Utility,Coordinate inputs; Address result box; Administrative hierarchy
Coordinates,gps coordinate converter,convert lat long; dms to decimal; decimal to dms; utm to lat long; mgrs converter; plus codes converter,/tools/gps-coordinate-converter/,Utility,Multi-format input/output matrix; Copy buttons; Offline indicator
Elevation,elevation finder,what is my elevation; altitude finder; find elevation of address; ground elevation map,/tools/elevation-finder/,Utility/Informational,Interactive elevation pin; Elevation in ft/m; Contour profile
Isochrone,drive time map,isochrone map; travel time map; distance drive time; 30 minute drive radius,/tools/drive-time-map/,Utility/Exploratory,Isochrone layer; Time band selector; Export button
Map Making,pin drop map,drop pins on map; save map markers; custom marker map; multi pin map,/tools/pin-drop-map/,Utility/Productivity,Marker tool; Custom colors/notes; Share link generator
Data Tools,csv to map,plot csv coordinates; plot addresses on map; excel to map; bulk point map,/tools/csv-to-map/,Utility/Productivity,File drag & drop; Column mapper; Clustered map preview
Map Making,map drawer,draw shapes on map; draw lines on map; freehand map tool; map polygon maker,/tools/map-drawer/,Utility/Productivity,Drawing toolbar; Layer list; SVG/KML/GeoJSON export
Location,what county am i in,find my county; county by address; what county is this city in; us county finder,/tools/what-county-am-i-in/,Utility/Direct Answer,Direct locality text box; State/County badge; County boundary highlight
Location,what state am i in,find my state; current state lookup; gps state finder,/tools/what-state-am-i-in/,Utility/Direct Answer,Direct answer; State facts link; Boundary map
Location,what city am i in,find my city; current city lookup; locality finder,/tools/what-city-am-i-in/,Utility/Direct Answer,Direct answer; City information; Interactive map
Location,what zip code am i in,find my zip code; current postal code; zip code finder,/tools/what-zip-code-am-i-in/,Utility/Direct Answer,Postal code card; ZCTA boundary map; Neighboring ZIPs
Location,what country am i in,find my country; current country lookup; country code finder,/tools/what-country-am-i-in/,Utility/Direct Answer,Country name card; ISO codes; Capital and region
Blank Maps,blank world map,printable world map; world map outline; blank map of the world pdf; world map svg,/maps/blank/world/,Educational/Download,Map preview; SVG/PNG/PDF download buttons; Admin unit guide
Blank Maps,blank us map,printable united states map; blank map of us states; us map outline pdf,/maps/blank/united-states/,Educational/Download,Map preview; State labels toggle; Printable downloads
Blank Maps,blank europe map,printable europe map; europe map outline; blank map of europe pdf,/maps/blank/europe/,Educational/Download,Map preview; Country labels toggle; Printable downloads
State Reference,california county map,california counties list; counties in california; ca county table,/states/california/,Informational/Reference,Interactive state county map; Sortable data table; CSV download
State Reference,texas county map,texas counties list; counties in texas; tx county table,/states/texas/,Informational/Reference,Interactive state county map; Sortable data table; CSV download
Guides,how to draw radius on map,draw circle around location; radius map guide; measure radius tutorial,/guides/how-to-draw-radius-on-map/,Informational,Step-by-step tutorial; Interactive tool embed; Use cases
Guides,geodesic vs driving distance,straight line vs driving distance; great circle vs road distance,/guides/geodesic-vs-driving-distance/,Informational,Comparison diagram; Mathematical breakdown; Practical examples
Studies,straight line vs driving distance study,detour factor study; urban driving efficiency study,/studies/straight-line-vs-driving-distance-metro-study/,Informational/Citation,Research methodology; Data visualization; Downloadable CSV dataset
Glossary,geodesic distance definition,what is geodesic distance; great circle definition; ellipsoidal distance,/glossary/geodesic-distance/,Informational/Definition,Definition paragraph; Formula summary; Related terms
Glossary,isochrone definition,what is an isochrone map; travel time polygon definition,/glossary/isochrone/,Informational/Definition,Definition paragraph; Visual representation; Applications
